brand,name,weight,price
FREMONT FISH MARKET,"Oven Ready Crab Cakes, 16 oz",16 oz,$4.99
BLUE BUNNY,"Mini Swirls Vanilla Cones, 18 fl oz",18 fl oz,$4.45
LUNCH BUDDIES,"Crustless Peanut Butter & Grape Jelly Sandwiches, 4 Pack",8.8 oz,$3.29
SPECIALLY SELECTED,"Snow Crab Legs, 24 oz",24 oz,$23.09
JOURNEY TO...,"Vegetable Momos, 15 oz",15 oz,$6.49
JOURNEY TO...,"Chicken Momos, 15 oz",15 oz,$6.49
FREMONT FISH MARKET,"Wild Caught Langostino Tails, 12 oz",12 oz,$15.39
SPECIALLY SELECTED,"Roasted Vegetables Flatbread, 10.51 oz",10.511 oz,$4.75
SPECIALLY SELECTED,"Garlic Provola Flatbread, 10 oz",10.018 oz,$4.75
BREMER BISTRO,"Savory Lorraine Quiche, 12 oz",12 oz,$4.79
BREMER BISTRO,"Spinach Florentine Quiche, 12 oz",12 oz,$4.79
MAMA COZZI'S PIZZA KITCHEN,"Frozen Thin Crust Pepperoni Pizza, 14.3 oz",14.3 oz,$3.09
FREMONT FISH MARKET,"Seafood Boil, 35.13 oz",35.13 oz,$9.89
SUNDAE SHOPPE,"Vanilla Frozen Dairy Dessert Sandwiches, 42 fl oz",42 fl oz,$3.25
SUNDAE SHOPPE,"Vanilla Frozen Dairy Dessert Bars, 12 count",30 fl oz,$3.45
SUNDAE SHOPPE,"Frozen Crunch Dairy Dessert Bars, 12 count",30 fl oz,$3.45
KIRKWOOD,"Crispy Chicken Nuggets, 22 oz",22 oz,$7.69
FREMONT FISH MARKET,"Large Raw Peeled Shrimp Family Pack, 32 oz",32 oz,$18.15
CASA MAMITA,"Chimi Beef & Cheese, 40 oz",40 oz,$8.79
BELMONT,"Strawberry Swirl Cheesecake Twin Pack, 6 oz",6 oz,$2.19
FREMONT FISH MARKET,"Chipotle Sea Salt Shrimp Skewer, 8 oz",8 oz,$7.69
KIRKWOOD,"Buffalo Chicken Wings, 22 oz",22 oz,$8.19
MAMA COZZI'S PIZZA KITCHEN,"Caprese Pinsa Pizza, 13 oz",13.05 oz,$5.49
SUNDAE SHOPPE,"Vanilla Sundae Nut Cones, 8 count",36.8 fl oz,$6.35
SUNDAE SHOPPE,"Vanilla Caramel & Fudge Sundae Cones, 8 count",36.8 fl oz,$6.35
SPECIALLY SELECTED,"Mini Cream Puffs Dessert Pastries, 40 count",17.64 oz,$5.19
SPECIALLY SELECTED,"Mini Eclairs Dessert Pastries, 30 count",15.03 oz,$5.19
PARK STREET DELI,"Chicken Pot Pie with Vegetables, 30 oz",30 oz,$9.59
MAMA COZZI'S PIZZA KITCHEN,"Deep Dish Pizza Singles Pepperoni, 4 count",4 ct,$7.69
MAMA COZZI'S PIZZA KITCHEN,"Rising Crust Philly Cheesesteak Pizza, 25.95 oz",25.95 oz,$4.99
MAMA COZZI'S PIZZA KITCHEN,"Rising Crust Hot Honey Pepperoni Pizza, 26.26 oz",26.26 oz,$4.99
SEASON'S CHOICE,"Strawberries Covered Dark Chocolates, 5.3 oz",5.3 oz,$2.55
SEASON'S CHOICE,"Banana Covered Dark Chocolate & Peanut Butter, 5.3 oz",5.3 oz.,$2.55
DEUTSCHE KÜCHE,"Wheat Bread Rolls, 15.87 oz",15.87 oz,$3.29
MAMA COZZI'S PIZZA KITCHEN,"Garlic Breadsticks, 6 count",10.5 oz,$2.15
JOURNEY TO...,"Chicken Tikka Masala, 16 oz",16 oz,$6.49
KIRKWOOD,"Spicy Chicken Patties, 23.8 oz",23.8 oz,$5.49
SEASON'S CHOICE,"Frozen Mixed Fruits, 48 oz",48 oz,$8.59
SEASON'S CHOICE,"Frozen Tropical Blend, 48 oz",48 oz,$8.59
SEASON'S CHOICE,"Edamame in Pod, 16 oz",16 oz,$2.75
FUSIA ASIAN INSPIRATIONS,"Philly Cheesesteak Rolls, 9.17 oz",8 oz,$4.99
FUSIA ASIAN INSPIRATIONS,"Buffalo Chicken Rolls, 9.17 oz",8 oz,$4.99
FREMONT FISH MARKET,"Toss & Serve Shrimp with Salted Butter & Garlic Sauce, 12 oz",12 oz,$7.39
FREMONT FISH MARKET,"Toss & Serve Shrimp with Citrus Herb Sauce, 12 oz",12 oz,$7.39
FREMONT FISH MARKET,"Toss & Serve Shrimp with Chipotle Sea Salt Sauce, 12 oz",12 oz,$7.39
HOT POCKETS,Pepperoni 4 pack,18 oz,$5.15
SEASON'S CHOICE,"Shelled Edamame, Bag",16 oz,$2.75
JIMMY DEAN,Breakfast Biscuit Sandwich,1 EA,$7.15
JIMMY DEAN,Croissant Breakfast Sandwiches,1 EA,$7.15
MAMA COZZI'S PIZZA KITCHEN,Mini Pizza Bagels 40ct - Pepperoni,1 ea,$7.69
MAMA COZZI'S PIZZA KITCHEN,Mini Pizza Bagels 40ct - 3 Cheese,1 ea,$7.69
